route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
5,2025_08_11-DX-MVS-Weekday-003,1771650,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771599,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771651,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771600,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771652,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771601,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771653,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771602,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771654,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771603,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771655,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771604,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771656,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771605,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771657,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771606,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771658,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2025_08_11-DX-MVS-Weekday-003,1771607,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2025_08_11-DX-MVS-Weekday-003,1771659,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
